age,education,marital status,number of children,ideal number of children,sex,sexual orientation,race,ethinicity,political views,religious preference,religious services attend,abortion opinion,sexual education,homosexual opinion,tv hours,email hours,relax hours,work related racism,work satisfaction,life satisfaction,poor mental health,confidence in government,ballot
29,16,5,0,8,2,-100,1,1,3,4,0,1,1,4,3,30,5,2,2,8,7,-100,1
53,16,1,1,1,1,-100,1,1,2,4,0,1,1,4,2,2,4,1,1,9,2,-100,1
72,16,1,2,-100,1,3,1,1,3,2,3,-100,-100,4,-100,-100,-100,-100,-100,-100,-100,1,3
74,18,5,0,-100,2,3,3,7,3,4,0,1,-100,3,-100,-100,-100,-100,-100,-100,-100,1,3
43,19,1,3,2,1,3,3,9,4,2,2,-100,1,-100,2,3,1,2,1,6,5,2,2
36,14,3,4,-100,2,3,1,1,4,2,4,1,-100,4,-100,-100,-100,-100,1,-100,-100,3,3
40,17,1,2,-100,2,3,1,1,5,1,8,2,-100,1,-100,-100,2,2,2,10,1,2,3
60,14,1,3,-100,1,3,1,1,5,2,3,1,-100,4,-100,-100,2,2,1,10,0,2,3
35,17,5,3,2,1,-100,3,16,3,2,0,-100,1,-100,1,0,3,2,1,-98,0,3,2
44,14,1,3,1,2,-100,1,1,-99,1,8,-100,1,1,0,2,-100,-100,1,-100,-100,-100,1
66,17,1,1,3,1,-100,3,3,5,2,1,-100,1,1,0,40,2,2,2,7,0,-100,1
32,12,1,2,2,2,-100,1,1,4,1,0,2,2,1,1,1,4,2,1,10,20,-100,1
36,11,5,1,3,1,-100,2,2,1,1,2,-100,1,-100,4,0,-100,-100,-100,-100,-100,-100,2
48,15,1,2,3,2,-100,2,2,6,1,3,-100,1,-100,0,7,6,2,1,8,0,-100,2
61,3,2,3,3,1,-100,1,1,4,2,3,-100,1,-100,0,-100,2,2,2,8,0,-100,2
47,12,1,2,2,1,-98,3,16,6,2,3,-100,1,-100,2,1,4,2,1,8,0,-100,2
